timestamp,one_minus_M_AE
2024-05-10 13:43:00+00:00,335
2024-05-10 13:44:00+00:00,343
2024-05-10 13:45:00+00:00,346
2024-05-10 13:46:00+00:00,341
2024-05-10 13:47:00+00:00,330
2024-05-10 13:48:00+00:00,315
2024-05-10 13:49:00+00:00,308
2024-05-10 13:50:00+00:00,317
2024-05-10 13:51:00+00:00,319
2024-05-10 13:52:00+00:00,313
2024-05-10 13:53:00+00:00,299
2024-05-10 13:54:00+00:00,298
2024-05-10 13:55:00+00:00,310
2024-05-10 13:56:00+00:00,332
2024-05-10 13:57:00+00:00,342
2024-05-10 13:58:00+00:00,327
2024-05-10 13:59:00+00:00,322
2024-05-10 14:00:00+00:00,341
2024-05-10 14:01:00+00:00,367
2024-05-10 14:02:00+00:00,380
2024-05-10 14:03:00+00:00,384
2024-05-10 14:04:00+00:00,390
2024-05-10 14:05:00+00:00,393
2024-05-10 14:06:00+00:00,386
2024-05-10 14:07:00+00:00,386
2024-05-10 14:08:00+00:00,393
2024-05-10 14:09:00+00:00,416
2024-05-10 14:10:00+00:00,428
2024-05-10 14:11:00+00:00,434
2024-05-10 14:12:00+00:00,434
2024-05-10 14:13:00+00:00,435
2024-05-10 14:14:00+00:00,428
2024-05-10 14:15:00+00:00,418
2024-05-10 14:16:00+00:00,409
2024-05-10 14:17:00+00:00,413
2024-05-10 14:18:00+00:00,418
2024-05-10 14:19:00+00:00,415
2024-05-10 14:20:00+00:00,421
2024-05-10 14:21:00+00:00,425
2024-05-10 14:22:00+00:00,410
2024-05-10 14:23:00+00:00,411
2024-05-10 14:24:00+00:00,407
2024-05-10 14:25:00+00:00,411
2024-05-10 14:26:00+00:00,413
2024-05-10 14:27:00+00:00,424
2024-05-10 14:28:00+00:00,418
2024-05-10 14:29:00+00:00,439
2024-05-10 14:30:00+00:00,433
2024-05-10 14:31:00+00:00,371
2024-05-10 14:32:00+00:00,334
2024-05-10 14:33:00+00:00,354
2024-05-10 14:34:00+00:00,375
2024-05-10 14:35:00+00:00,379
2024-05-10 14:36:00+00:00,398
2024-05-10 14:37:00+00:00,412
2024-05-10 14:38:00+00:00,422
2024-05-10 14:39:00+00:00,419
2024-05-10 14:40:00+00:00,426
2024-05-10 14:41:00+00:00,443
2024-05-10 14:42:00+00:00,447
2024-05-10 14:43:00+00:00,441
2024-05-10 14:44:00+00:00,440
2024-05-10 14:45:00+00:00,449
2024-05-10 14:46:00+00:00,481
2024-05-10 14:47:00+00:00,513
2024-05-10 14:48:00+00:00,517
2024-05-10 14:49:00+00:00,485
2024-05-10 14:50:00+00:00,435
2024-05-10 14:51:00+00:00,387
2024-05-10 14:52:00+00:00,348
2024-05-10 14:53:00+00:00,301
2024-05-10 14:54:00+00:00,285
2024-05-10 14:55:00+00:00,293
2024-05-10 14:56:00+00:00,299
2024-05-10 14:57:00+00:00,285
2024-05-10 14:58:00+00:00,324
2024-05-10 14:59:00+00:00,345
2024-05-10 15:00:00+00:00,293
2024-05-10 15:01:00+00:00,244
2024-05-10 15:02:00+00:00,233
2024-05-10 15:03:00+00:00,222
2024-05-10 15:04:00+00:00,203
2024-05-10 15:05:00+00:00,217
2024-05-10 15:06:00+00:00,212
2024-05-10 15:07:00+00:00,243
2024-05-10 15:08:00+00:00,263
2024-05-10 15:09:00+00:00,279
2024-05-10 15:10:00+00:00,296
2024-05-10 15:11:00+00:00,317
2024-05-10 15:12:00+00:00,350
2024-05-10 15:13:00+00:00,370
2024-05-10 15:14:00+00:00,400
2024-05-10 15:15:00+00:00,416
2024-05-10 15:16:00+00:00,403
2024-05-10 15:17:00+00:00,387
2024-05-10 15:18:00+00:00,358
2024-05-10 15:19:00+00:00,325
2024-05-10 15:20:00+00:00,307
2024-05-10 15:21:00+00:00,283
2024-05-10 15:22:00+00:00,266
2024-05-10 15:23:00+00:00,275
2024-05-10 15:24:00+00:00,281
2024-05-10 15:25:00+00:00,307
2024-05-10 15:26:00+00:00,328
2024-05-10 15:27:00+00:00,335
2024-05-10 15:28:00+00:00,334
2024-05-10 15:29:00+00:00,312
2024-05-10 15:30:00+00:00,324
2024-05-10 15:31:00+00:00,338
2024-05-10 15:32:00+00:00,345
2024-05-10 15:33:00+00:00,324
2024-05-10 15:34:00+00:00,279
2024-05-10 15:35:00+00:00,242
2024-05-10 15:36:00+00:00,252
2024-05-10 15:37:00+00:00,257
2024-05-10 15:38:00+00:00,255
2024-05-10 15:39:00+00:00,250
2024-05-10 15:40:00+00:00,249
2024-05-10 15:41:00+00:00,195
2024-05-10 15:42:00+00:00,143
2024-05-10 15:43:00+00:00,123
2024-05-10 15:44:00+00:00,160
2024-05-10 15:45:00+00:00,212
2024-05-10 15:46:00+00:00,152
2024-05-10 15:47:00+00:00,148
2024-05-10 15:48:00+00:00,189
2024-05-10 15:49:00+00:00,244
2024-05-10 15:50:00+00:00,251
2024-05-10 15:51:00+00:00,225
2024-05-10 15:52:00+00:00,186
2024-05-10 15:53:00+00:00,160
2024-05-10 15:54:00+00:00,167
2024-05-10 15:55:00+00:00,176
2024-05-10 15:56:00+00:00,191
2024-05-10 15:57:00+00:00,212
2024-05-10 15:58:00+00:00,215
2024-05-10 15:59:00+00:00,211
2024-05-10 16:00:00+00:00,189
2024-05-10 16:01:00+00:00,189
2024-05-10 16:02:00+00:00,210
2024-05-10 16:03:00+00:00,259
2024-05-10 16:04:00+00:00,275
2024-05-10 16:05:00+00:00,252
2024-05-10 16:06:00+00:00,270
2024-05-10 16:07:00+00:00,282
2024-05-10 16:08:00+00:00,274
2024-05-10 16:09:00+00:00,273
2024-05-10 16:10:00+00:00,251
2024-05-10 16:11:00+00:00,253
2024-05-10 16:12:00+00:00,242
2024-05-10 16:13:00+00:00,174
